2025-07-10 05:22:26.945563+00:00 - unauthorized_object_detected
2025-07-10 05:22:36.934142+00:00 - No face detected
2025-07-10 05:22:36.956283+00:00 - unauthorized_object_detected
2025-07-10 05:22:39.880567+00:00 - No face detected
2025-07-10 05:22:42.886727+00:00 - No face detected
2025-07-10 05:22:46.837357+00:00 - unauthorized_object_detected
2025-07-10 05:22:51.170726+00:00 - Talking detected
2025-07-10 05:22:51.187474+00:00 - Talking detected
2025-07-10 05:22:51.189950+00:00 - Talking detected
2025-07-10 05:22:51.199193+00:00 - Talking detected
2025-07-10 05:22:51.201212+00:00 - Talking detected
2025-07-10 05:22:51.210023+00:00 - Talking detected
2025-07-10 05:22:51.841387+00:00 - Talking detected
2025-07-10 05:22:52.080796+00:00 - No face detected
2025-07-10 05:22:56.863356+00:00 - unauthorized_object_detected
2025-07-10 05:22:57.897538+00:00 - No face detected
2025-07-10 05:23:00.853121+00:00 - No face detected
2025-07-10 05:23:06.027679+00:00 - Talking detected
2025-07-10 05:23:06.041147+00:00 - Talking detected
2025-07-10 05:23:06.044757+00:00 - Talking detected
2025-07-10 05:23:06.044757+00:00 - Talking detected
2025-07-10 05:23:06.959365+00:00 - unauthorized_object_detected
2025-07-10 05:23:09.133072+00:00 - Talking detected
2025-07-10 05:23:09.133072+00:00 - Talking detected
2025-07-10 05:23:09.269435+00:00 - Talking detected
2025-07-10 05:23:09.307586+00:00 - Talking detected
2025-07-10 05:23:09.380766+00:00 - Talking detected
2025-07-10 05:23:09.393142+00:00 - Talking detected
2025-07-10 05:23:09.814750+00:00 - Talking detected
2025-07-10 05:23:09.825401+00:00 - Talking detected
2025-07-10 05:23:09.827433+00:00 - Talking detected
2025-07-10 05:23:09.901140+00:00 - Talking detected
2025-07-10 05:23:20.465392+00:00 - Talking detected
2025-07-10 05:23:20.486686+00:00 - Talking detected
2025-07-10 05:23:20.545963+00:00 - Talking detected
2025-07-10 05:23:20.576432+00:00 - Talking detected
2025-07-10 05:23:20.584165+00:00 - Talking detected
2025-07-10 05:23:20.585682+00:00 - Talking detected
2025-07-10 05:23:20.703192+00:00 - Talking detected
2025-07-10 05:23:20.717129+00:00 - Talking detected
2025-07-10 05:23:20.778066+00:00 - Talking detected
2025-07-10 05:23:20.795221+00:00 - Talking detected
2025-07-10 05:23:21.046119+00:00 - Talking detected
2025-07-10 05:23:21.053079+00:00 - Talking detected
2025-07-10 05:23:21.170293+00:00 - Talking detected
